Origin,Orig Long,Orig Lat,Dest Long,Dest Lat,Times
Manhattan,-74.000786,40.758099,-73.98201,40.752048,0
Manhattan,-73.985359,40.718498,-73.989449,40.690933,0
Queens,-73.90519,40.753532,-74.005562,40.653366,0
Manhattan,-73.987282,40.722424,-73.978012,40.725163,0
Manhattan,-73.988808,40.729134,-74.001251,40.726509,0
Manhattan,-73.999771,40.738556,-73.980515,40.734074,0
Manhattan,-73.989532,40.747303,-73.992104,40.758026,0
Manhattan,-73.987854,40.718578,-73.978279,40.741577,0
Manhattan,-73.986343,40.756725,-73.990562,40.75087,0
Manhattan,-74.004181,40.741985,-73.949478,40.726246,0
Manhattan,-73.988739,40.727081,-73.988724,40.748306,0
Manhattan,-73.987564,40.732651,-73.977539,40.745529,0
Manhattan,-73.977692,40.787045,-73.977692,40.787045,0
Manhattan,-73.987984,40.731964,-73.954033,40.784386,0
Manhattan,-73.992966,40.757858,-73.979698,40.684925,0
Manhattan,-73.987312,40.733047,-74.00177,40.719448,0
Manhattan,-73.990944,40.748741,-73.993164,40.758217,0
Manhattan,-73.937988,40.796841,-73.90023,40.745899,0
Manhattan,-73.963768,40.761402,-73.94088,40.829475,0
Manhattan,-73.98938,40.75779,-73.955177,40.735855,0
Manhattan,-73.987465,40.728779,-73.996841,40.76358,0
Manhattan,-73.966675,40.764263,-73.970642,40.745914,0
Queens,-73.921768,40.755508,-74.001022,40.741531,0
Brooklyn,-73.957611,40.717949,-73.945305,40.833282,0
Manhattan,-73.992256,40.743748,-73.985046,40.747898,0
Manhattan,-73.999664,40.730968,-73.944206,40.677578,0
Manhattan,-73.981743,40.72094,-73.976959,40.787666,0
Manhattan,-73.997818,40.756344,-73.957001,40.812443,0
Manhattan,-73.976707,40.749653,-73.998161,40.740742,0
Queens,-73.9123,40.742641,-73.96579,40.762001,0
Queens,-73.873085,40.774139,-73.983383,40.750301,0
Manhattan,-73.970253,40.789223,-74.009712,40.747421,0
Manhattan,-73.986679,40.766666,-74.008698,40.732239,0
Manhattan,-73.962105,40.763489,-73.972778,40.761185,0
Manhattan,-74.015175,40.717495,-73.987267,40.733356,0
Queens,-73.924904,40.75238,-73.973701,40.751125,0
Manhattan,-73.975189,40.765186,-73.991562,40.750256,0
Manhattan,-73.989281,40.757778,-73.97406,40.764008,0
Brooklyn,-73.989471,40.688301,-73.937187,40.590904,0
Manhattan,-73.986649,40.762623,-74.010391,40.710129,0
Manhattan,-73.98246,40.731552,-73.972725,40.756279,0
Manhattan,-73.987823,40.750027,-73.979408,40.746437,0
Manhattan,-73.982384,40.76836,-73.98687,40.775871,0
Manhattan,-74.005974,40.743942,-73.991508,40.761307,0
Manhattan,-73.97802,40.741886,-74.008362,40.749214,0
Manhattan,-73.9617,40.764496,-73.990196,40.687485,0
Manhattan,-73.956055,40.772114,-73.952477,40.782322,0
Manhattan,-73.988808,40.763672,-74.000587,40.75827,0
Manhattan,-73.964165,40.792545,-73.946869,40.805767,0
Manhattan,-73.989578,40.772881,-73.97377,40.789406,0
Manhattan,-74.016403,40.71492,-73.9552,40.768944,0
Manhattan,-73.97345,40.782753,-73.960258,40.775978,0
Manhattan,-73.965164,40.790913,-73.936905,40.793652,0
Manhattan,-73.971695,40.761032,-73.990913,40.750629,0
Manhattan,-73.966576,40.752949,-73.9888,40.756088,0
Manhattan,-73.971146,40.798248,-73.985527,40.776604,0
Manhattan,-73.980347,40.765266,-74.00058,40.731468,0
Manhattan,-73.975441,40.752869,-73.955421,40.768543,0
Manhattan,-73.974571,40.763023,-74.010887,40.701862,0
Manhattan,-73.977165,40.789757,-73.97007,40.799755,0
Manhattan,-73.989105,40.77758,-73.981384,40.779099,0
Manhattan,-73.983177,40.726585,-73.997299,40.724789,0
Manhattan,-73.995316,40.748035,-73.977531,40.786877,0
Manhattan,-74.006775,40.743977,-73.982262,40.739819,0
Manhattan,-73.986259,40.720497,-73.978096,40.725101,0
Manhattan,-73.982079,40.761822,-73.953819,40.775379,0
Manhattan,-73.986877,40.719368,-73.975136,40.741459,0
Manhattan,-73.978539,40.729683,-73.97226,40.578598,0
Manhattan,-73.993263,40.738018,-73.998863,40.738163,0
Manhattan,-73.997704,40.720734,-73.9832,40.785038,0
Manhattan,-73.989204,40.731556,-73.991158,40.746914,0
Manhattan,-73.987991,40.720367,-74.00103,40.731556,0
Manhattan,-74.002632,40.728565,-73.957626,40.647762,0
Manhattan,-73.992424,40.715176,-73.944565,40.715176,0
Manhattan,-73.982796,40.722717,-73.951172,40.743031,0
Manhattan,-73.997093,40.720615,-73.955002,40.768795,0
Manhattan,-73.987007,40.720879,-73.984718,40.695953,0
Manhattan,-73.988068,40.764671,-73.991997,40.759277,0
Manhattan,-73.988159,40.722099,-73.970024,40.748631,0
Manhattan,-73.986496,40.761654,-73.915955,40.75753,0
Manhattan,-73.997536,40.721127,-73.984474,40.724781,0
Manhattan,-74.005402,40.726418,-73.995796,40.645294,0
Manhattan,-73.99086,40.766071,-73.956543,40.762959,0
Manhattan,-73.986328,40.755474,-73.994301,40.717033,0
Manhattan,-74.004158,40.742859,-73.988235,40.723705,0
Bronx,-73.910599,40.850094,-73.9114,40.848709,0
Manhattan,-73.982964,40.722816,-73.888741,40.818024,0
Manhattan,-73.96785,40.752728,-73.978867,40.740593,0
Manhattan,-73.964767,40.75602,-73.944054,40.750534,0
Manhattan,-73.984245,40.728863,-73.706665,40.838978,0
Manhattan,-73.997574,40.713951,-73.975319,40.787308,0
Manhattan,-74.002312,40.739845,-73.914581,40.818306,0
Manhattan,-73.996284,40.759727,-73.956718,40.746223,0
Manhattan,-73.988647,40.722717,-73.949203,40.785267,0
Manhattan,-73.992294,40.721333,-74.013779,40.706661,0
Manhattan,-73.990829,40.734676,-74.017494,40.707012,0
