Origin,Orig Long,Orig Lat,Destination,Dest Long,Dest Lat,Times
Manhattan,-73.994637,40.720535,Queens,-73.919632,40.754128,0
Manhattan,-73.971642,40.76263,Manhattan,-73.997894,40.722618,0
Manhattan,-73.991943,40.75798,Manhattan,-73.946968,40.790138,0
Manhattan,-73.982536,40.731247,Brooklyn,-73.941605,40.674995,0
Manhattan,-73.973328,40.754566,Manhattan,-73.962914,40.794117,0
Manhattan,-73.968918,40.753971,Brooklyn,-73.976288,40.653717,0
Brooklyn,-73.983078,40.69371,Manhattan,-74.005981,40.714344,0
Manhattan,-73.955666,40.779266,Manhattan,-73.981033,40.778481,0
Manhattan,-73.99279,40.75882,Queens,-73.827072,40.709705,0
Manhattan,-73.966873,40.75312,Manhattan,-73.968697,40.747532,0
Manhattan,-73.958488,40.769073,Manhattan,-73.950638,40.779091,0
Manhattan,-73.96769,40.792801,Manhattan,-73.97242,40.790741,0
Manhattan,-73.9729,40.795914,Manhattan,-73.996353,40.753288,0
Manhattan,-73.975594,40.763512,Manhattan,-73.977013,40.792873,0
Manhattan,-73.987015,40.779114,Manhattan,-73.97966,40.786438,0
Queens,-73.930069,40.761696,Manhattan,-73.988785,40.753361,0
Queens,-73.862679,40.768909,Manhattan,-73.964058,40.775494,0
Manhattan,-73.977173,40.755627,Manhattan,-73.9645,40.766811,0
Manhattan,-73.978264,40.783241,Manhattan,-73.955551,40.769642,0
Manhattan,-74.006569,40.738552,Manhattan,-73.997734,40.739216,0
Manhattan,-73.974709,40.756065,Manhattan,-73.974709,40.756065,0
Manhattan,-73.9963,40.725346,Manhattan,-73.966927,40.764969,0
Manhattan,-73.987045,40.74091,Manhattan,-73.982361,40.738773,0
Manhattan,-73.988136,40.716904,Manhattan,-73.984009,40.725426,0
Manhattan,-73.953079,40.786671,Manhattan,-73.957169,40.777683,0
Manhattan,-73.991486,40.750271,Manhattan,-73.980186,40.758793,0
Manhattan,-73.996193,40.723858,Manhattan,-73.988235,40.734985,0
Manhattan,-73.988518,40.779026,Manhattan,-73.982201,40.765415,0
Manhattan,-74.006271,40.731754,Manhattan,-73.967941,40.767231,0
Manhattan,-73.972092,40.761971,Manhattan,-73.965065,40.772285,0
Manhattan,-73.981056,40.779537,Manhattan,-73.975075,40.787533,0
Manhattan,-73.945351,40.782696,Manhattan,-73.947372,40.787907,0
Manhattan,-73.973839,40.791142,Manhattan,-73.958595,40.775982,0
Manhattan,-73.993469,40.742283,Manhattan,-73.983749,40.746761,0
Manhattan,-73.981934,40.778442,Manhattan,-73.972855,40.790997,0
Manhattan,-73.960136,40.776108,Manhattan,-73.965454,40.765976,0
Manhattan,-74.006424,40.712811,Manhattan,-74.002258,40.718033,0
Manhattan,-73.983749,40.748669,Manhattan,-73.974998,40.759819,0
Manhattan,-74.001114,40.725819,Manhattan,-73.981499,40.759571,0
Manhattan,-73.986557,40.766846,Manhattan,-73.96447,40.758873,0
Manhattan,-74.005257,40.719044,Manhattan,-73.987556,40.755356,0
Manhattan,-73.978081,40.7528,Manhattan,-73.992378,40.750191,0
Manhattan,-73.989456,40.747486,Manhattan,-73.987083,40.73354,0
Brooklyn,-73.98053,40.688324,Brooklyn,-73.973228,40.677776,0
Manhattan,-73.973602,40.743832,Manhattan,-73.976959,40.77758,0
Manhattan,-73.994385,40.743793,Manhattan,-73.994102,40.737404,0
Manhattan,-73.968491,40.767395,Manhattan,-73.966881,40.769661,0
Manhattan,-73.999542,40.761429,Manhattan,-73.969261,40.762711,0
Manhattan,-73.985931,40.752117,Manhattan,-73.991455,40.746525,0
Manhattan,-73.956284,40.779499,Manhattan,-73.989288,40.739845,0
Manhattan,-74.004791,40.725842,Manhattan,-74.004868,40.725876,0
Brooklyn,-73.994675,40.680569,Brooklyn,-73.978844,40.670174,0
Manhattan,-74.005592,40.740707,Manhattan,-73.97258,40.757668,0
Manhattan,-73.949654,40.784626,Manhattan,-73.949776,40.811939,0
Queens,-73.913818,40.765591,Queens,-73.905411,40.772457,0
Queens,-73.919991,40.757874,Queens,-73.92144,40.755947,0
Manhattan,-73.960114,40.762001,Queens,-73.897507,40.746147,0
Manhattan,-73.977097,40.790096,Manhattan,-73.981133,40.784386,0
Manhattan,-73.99176,40.726768,Manhattan,-73.99176,40.726768,0
Manhattan,-73.985703,40.735298,Manhattan,-73.961014,40.760853,0
Manhattan,-73.981339,40.780125,Manhattan,-73.979858,40.755562,0
Manhattan,-73.960274,40.773277,Manhattan,-73.98893,40.742077,0
Queens,-73.776688,40.645432,Queens,-73.715225,40.758358,0
Manhattan,-73.970413,40.783966,Manhattan,-73.95285,40.810856,0
Brooklyn,-73.96981,40.689541,Brooklyn,-73.958305,40.648605,0
Manhattan,-73.991867,40.758301,Manhattan,-73.985252,40.755203,0
Manhattan,-74.006523,40.736931,Manhattan,-74.002342,40.76054,0
Manhattan,-73.9729,40.756081,Manhattan,-73.982735,40.751141,0
Manhattan,-73.966049,40.794968,Manhattan,-73.977371,40.77943,0
Manhattan,-73.977173,40.75922,Manhattan,-73.989815,40.762241,0
Manhattan,-74.000786,40.758099,Manhattan,-73.98201,40.752048,0
Manhattan,-73.985359,40.718498,Brooklyn,-73.989449,40.690933,0
Queens,-73.90519,40.753532,Brooklyn,-74.005562,40.653366,0
Manhattan,-73.987282,40.722424,Manhattan,-73.978012,40.725163,0
Manhattan,-73.988808,40.729134,Manhattan,-74.001251,40.726509,0
Manhattan,-73.999771,40.738556,Manhattan,-73.980515,40.734074,0
Manhattan,-73.989532,40.747303,Manhattan,-73.992104,40.758026,0
Manhattan,-73.987854,40.718578,Manhattan,-73.978279,40.741577,0
Manhattan,-73.986343,40.756725,Manhattan,-73.990562,40.75087,0
Manhattan,-74.004181,40.741985,Brooklyn,-73.949478,40.726246,0
Manhattan,-73.988739,40.727081,Manhattan,-73.988724,40.748306,0
Manhattan,-73.987564,40.732651,Manhattan,-73.977539,40.745529,0
Manhattan,-73.977692,40.787045,Manhattan,-73.977692,40.787045,0
Manhattan,-73.987984,40.731964,Manhattan,-73.954033,40.784386,0
Manhattan,-73.992966,40.757858,Brooklyn,-73.979698,40.684925,0
Manhattan,-73.987312,40.733047,Manhattan,-74.00177,40.719448,0
Manhattan,-73.990944,40.748741,Manhattan,-73.993164,40.758217,0
Manhattan,-73.937988,40.796841,Queens,-73.90023,40.745899,0
Manhattan,-73.963768,40.761402,Manhattan,-73.94088,40.829475,0
Manhattan,-73.98938,40.75779,Brooklyn,-73.955177,40.735855,0
Manhattan,-73.987465,40.728779,Manhattan,-73.996841,40.76358,0
Manhattan,-73.966675,40.764263,Manhattan,-73.970642,40.745914,0
Queens,-73.921768,40.755508,Manhattan,-74.001022,40.741531,0
Brooklyn,-73.957611,40.717949,Manhattan,-73.945305,40.833282,0
Manhattan,-73.992256,40.743748,Manhattan,-73.985046,40.747898,0
Manhattan,-73.999664,40.730968,Brooklyn,-73.944206,40.677578,0
Manhattan,-73.981743,40.72094,Manhattan,-73.976959,40.787666,0
Manhattan,-73.997818,40.756344,Manhattan,-73.957001,40.812443,0
Manhattan,-73.976707,40.749653,Manhattan,-73.998161,40.740742,0
Queens,-73.9123,40.742641,Manhattan,-73.96579,40.762001,0
Queens,-73.873085,40.774139,Manhattan,-73.983383,40.750301,0
Manhattan,-73.970253,40.789223,Manhattan,-74.009712,40.747421,0
Manhattan,-73.986679,40.766666,Manhattan,-74.008698,40.732239,0
Manhattan,-73.962105,40.763489,Manhattan,-73.972778,40.761185,0
Manhattan,-74.015175,40.717495,Manhattan,-73.987267,40.733356,0
Queens,-73.924904,40.75238,Manhattan,-73.973701,40.751125,0
Manhattan,-73.975189,40.765186,Manhattan,-73.991562,40.750256,0
Manhattan,-73.989281,40.757778,Manhattan,-73.97406,40.764008,0
Brooklyn,-73.989471,40.688301,Brooklyn,-73.937187,40.590904,0
Manhattan,-73.986649,40.762623,Manhattan,-74.010391,40.710129,0
Manhattan,-73.98246,40.731552,Manhattan,-73.972725,40.756279,0
Manhattan,-73.987823,40.750027,Manhattan,-73.979408,40.746437,0
Manhattan,-73.982384,40.76836,Manhattan,-73.98687,40.775871,0
Manhattan,-74.005974,40.743942,Manhattan,-73.991508,40.761307,0
