Origin,Dest Long,Dest Lat,Times
Manhattan,-73.974777,40.743942,0
Manhattan,-73.954964,40.777428,0
Manhattan,-73.989059,40.716873,0
Manhattan,-74.010117,40.70536,0
Queens,-73.94072,40.755901,0
Manhattan,-73.976723,40.751759,0
Brooklyn,-73.970024,40.689606,0
Manhattan,-73.978821,40.71981,0
Manhattan,-73.972359,40.745541,0
Manhattan,-73.977959,40.762032,0
Manhattan,-74.008453,40.732731,0
Manhattan,-73.994644,40.752502,0
Manhattan,-73.977119,40.784733,0
Manhattan,-73.994286,40.752407,0
Manhattan,-73.95713,40.780441,0
Manhattan,-73.998177,40.736195,0
Manhattan,-73.973663,40.75951,0
Manhattan,-73.999115,40.726589,0
Manhattan,-73.955383,40.772873,0
Manhattan,-73.985184,40.778309,0
Queens,-73.870476,40.702816,0
Manhattan,-73.95018,40.771683,0
Manhattan,-73.978889,40.761955,0
Manhattan,-73.958771,40.783424,0
Manhattan,-73.998886,40.7145,0
Manhattan,-73.991043,40.75069,0
Manhattan,-73.967133,40.760658,0
Manhattan,-73.983795,40.760723,0
Manhattan,-73.999969,40.758701,0
Manhattan,-73.953461,40.772705,0
Manhattan,-73.984764,40.767792,0
Manhattan,-73.961273,40.765217,0
Manhattan,-73.95417,40.784031,0
Manhattan,-73.97435,40.790668,0
Manhattan,-73.999786,40.734509,0
Manhattan,-73.972527,40.760887,0
Manhattan,-73.997681,40.749474,0
Queens,-73.833984,40.666252,0
Manhattan,-73.991371,40.751389,0
Manhattan,-73.973206,40.785213,0
Manhattan,-73.962349,40.775951,0
Manhattan,-73.945747,40.773556,0
Manhattan,-74.005234,40.740227,0
Manhattan,-73.984787,40.770287,0
Manhattan,-74.001717,40.733776,0
Manhattan,-73.988167,40.749813,0
Manhattan,-73.994377,40.719257,0
Manhattan,-73.957916,40.77454,0
Manhattan,-74.000427,40.727318,0
Manhattan,-73.977554,40.752724,0
Manhattan,-73.986282,40.757336,0
Manhattan,-73.956406,40.775879,0
Manhattan,-73.974251,40.778622,0
Manhattan,-73.977776,40.751556,0
Manhattan,-73.955231,40.768738,0
Manhattan,-73.986305,40.730335,0
Manhattan,-74.005875,40.70755,0
Manhattan,-74.012421,40.719482,0
Queens,-73.855179,40.752762,0
Manhattan,-74.004974,40.716496,0
Manhattan,-73.992676,40.729912,0
Manhattan,-73.982071,40.769718,0
Manhattan,-73.970985,40.751774,0
Manhattan,-73.982239,40.770309,0
Manhattan,-73.991653,40.744293,0
Manhattan,-73.951859,40.773628,0
Manhattan,-73.966637,40.753105,0
Queens,-73.944817,40.751545,0
Manhattan,-73.979973,40.739979,0
Manhattan,-73.982513,40.782562,0
Manhattan,-73.999825,40.730362,0
Manhattan,-73.952698,40.783642,0
Brooklyn,-73.946106,40.673233,0
Manhattan,-73.982567,40.773418,0
Manhattan,-73.978889,40.783344,0
Manhattan,-73.972565,40.790936,0
Manhattan,-73.985764,40.756794,0
Manhattan,-73.981903,40.757874,0
Manhattan,-73.956848,40.778233,0
Manhattan,-73.952667,40.771492,0
Manhattan,-73.962105,40.77924,0
Manhattan,-73.979347,40.756691,0
Manhattan,-73.977226,40.784706,0
Manhattan,-73.963425,40.782112,0
Manhattan,-73.960304,40.778934,0
Manhattan,-73.975204,40.75695,0
Manhattan,-73.995628,40.716873,0
Manhattan,-73.985252,40.756004,0
Manhattan,-73.984749,40.765079,0
Manhattan,-73.947929,40.779682,0
Manhattan,-74.002304,40.7295,0
Manhattan,-73.98616,40.740143,0
Manhattan,-73.987839,40.75523,0
Manhattan,-73.960228,40.76458,0
Manhattan,-74.002022,40.755917,0
Manhattan,-73.963707,40.808182,0
Manhattan,-73.989899,40.739128,0
Manhattan,-73.973114,40.784309,0
Manhattan,-73.957535,40.816212,0
Brooklyn,-73.988205,40.66293,0
Manhattan,-73.962097,40.759773,0
Manhattan,-73.967575,40.756016,0
Manhattan,-73.974747,40.783367,0
Manhattan,-73.958939,40.759766,0
Manhattan,-73.993187,40.73254,0
Manhattan,-73.980698,40.785103,0
Manhattan,-73.988754,40.7272,0
Manhattan,-73.967216,40.763725,0
Manhattan,-73.980919,40.782387,0
Manhattan,-73.976913,40.752243,0
Manhattan,-73.997391,40.762272,0
Manhattan,-74.001366,40.735996,0
Manhattan,-73.980354,40.783485,0
Manhattan,-73.986847,40.74052,0
Manhattan,-73.980606,40.759266,0
Manhattan,-73.984207,40.73772,0
Manhattan,-73.976082,40.775646,0
Manhattan,-74.007179,40.707355,0
Manhattan,-73.99369,40.746506,0
Manhattan,-73.982376,40.735863,0
Manhattan,-73.951241,40.774353,0
Manhattan,-74.000977,40.74641,0
Manhattan,-73.982597,40.745354,0
Manhattan,-73.979034,40.728016,0
Manhattan,-73.952026,40.803776,0
Manhattan,-73.976494,40.739708,0
Manhattan,-73.990547,40.737995,0
Manhattan,-74.014748,40.70454,0
Manhattan,-74.008263,40.746468,0
Manhattan,-73.968628,40.754116,0
Manhattan,-73.976028,40.776012,0
Manhattan,-73.962135,40.767689,0
Manhattan,-73.976563,40.747704,0
Manhattan,-73.987907,40.748341,0
Manhattan,-73.965096,40.755096,0
Manhattan,-73.94725,40.796364,0
Manhattan,-73.976799,40.747585,0
Manhattan,-73.999947,40.711563,0
Manhattan,-74.004173,40.742573,0
Manhattan,-73.936958,40.798458,0
Manhattan,-73.958054,40.81543,0
Manhattan,-73.985786,40.756512,0
Manhattan,-73.990112,40.757706,0
Manhattan,-73.990562,40.740448,0
Manhattan,-73.974373,40.761978,0
Manhattan,-73.95739,40.816856,0
Manhattan,-73.977539,40.758457,0
Manhattan,-74.002457,40.733665,0
Manhattan,-73.978622,40.750504,0
Manhattan,-73.989655,40.749813,0
Manhattan,-73.983253,40.738869,0
Manhattan,-73.982193,40.777256,0
Manhattan,-73.948662,40.773952,0
